,id,expected_recovery_amount,actual_recovery_amount,recovery_strategy,age,sex
0,2030,194,263.54,Level 0 Recovery,19,Male
1,1150,486,416.09,Level 0 Recovery,25,Female
2,380,527,429.35,Level 0 Recovery,27,Male
3,1838,536,296.99,Level 0 Recovery,25,Male
4,1995,541,346.385,Level 0 Recovery,34,Male
5,731,548,520.71,Level 0 Recovery,35,Male
6,221,549,221.585,Level 0 Recovery,33,Male
7,1932,560,373.72,Level 0 Recovery,19,Female
8,1828,562,201.865,Level 0 Recovery,22,Female
9,2001,565,504.885,Level 0 Recovery,27,Male
10,723,573,363.61,Level 0 Recovery,27,Female
11,1913,582,201.815,Level 0 Recovery,31,Male
12,286,587,400.365,Level 0 Recovery,18,Male
13,685,602,262.445,Level 0 Recovery,31,Male
14,251,604,240.815,Level 0 Recovery,33,Male
15,1769,604,278.72,Level 0 Recovery,32,Female
16,1816,605,444.455,Level 0 Recovery,22,Female
17,583,606,200.425,Level 0 Recovery,26,Male
18,770,608,315.435,Level 0 Recovery,23,Male
19,1849,613,245.0,Level 0 Recovery,29,Female
20,1850,613,377.105,Level 0 Recovery,28,Female
21,1532,615,420.735,Level 0 Recovery,33,Female
22,565,621,249.1,Level 0 Recovery,34,Female
23,1355,629,366.45,Level 0 Recovery,31,Female
24,855,632,426.21,Level 0 Recovery,28,Female
25,932,643,399.14,Level 0 Recovery,32,Male
26,1479,643,480.125,Level 0 Recovery,23,Male
27,492,648,225.165,Level 0 Recovery,21,Male
28,2022,656,467.945,Level 0 Recovery,24,Male
29,1990,658,515.785,Level 0 Recovery,23,Male
30,1533,662,936.06,Level 0 Recovery,21,Male
31,1554,664,398.59,Level 0 Recovery,35,Female
32,480,670,228.985,Level 0 Recovery,32,Male
33,475,672,282.62,Level 0 Recovery,34,Female
34,1904,672,270.585,Level 0 Recovery,18,Female
35,1241,678,292.25,Level 0 Recovery,32,Female
36,294,681,362.06,Level 0 Recovery,23,Female
37,1390,684,333.21,Level 0 Recovery,25,Male
38,712,686,491.635,Level 0 Recovery,24,Female
39,957,692,508.27,Level 0 Recovery,26,Male
40,144,698,253.61,Level 0 Recovery,28,Male
41,949,699,557.9,Level 0 Recovery,27,Male
42,1022,699,384.575,Level 0 Recovery,18,Female
43,1861,702,407.2,Level 0 Recovery,31,Male
44,1981,703,414.065,Level 0 Recovery,31,Male
45,1280,704,627.44,Level 0 Recovery,18,Female
46,2019,704,262.105,Level 0 Recovery,29,Female
47,1342,707,326.93,Level 0 Recovery,19,Male
48,283,715,370.925,Level 0 Recovery,26,Male
49,532,718,539.65,Level 0 Recovery,28,Male
50,1921,719,325.875,Level 0 Recovery,26,Female
51,543,720,851.62,Level 0 Recovery,22,Male
52,1053,720,523.81,Level 0 Recovery,22,Female
53,1503,723,567.765,Level 0 Recovery,25,Female
54,297,724,315.66,Level 0 Recovery,26,Female
55,1969,726,253.585,Level 0 Recovery,25,Male
56,1746,727,282.21,Level 0 Recovery,20,Female
57,241,728,589.55,Level 0 Recovery,29,Female
58,1144,731,617.675,Level 0 Recovery,24,Male
59,1700,733,697.415,Level 0 Recovery,36,Female
60,2008,736,691.405,Level 0 Recovery,28,Female
61,1238,741,251.65,Level 0 Recovery,27,Female
62,1339,742,464.33,Level 0 Recovery,32,Female
63,1754,748,329.78,Level 0 Recovery,26,Female
64,1470,749,858.36,Level 0 Recovery,26,Male
65,227,751,287.125,Level 0 Recovery,33,Female
66,1705,752,369.4,Level 0 Recovery,25,Male
67,1986,752,677.825,Level 0 Recovery,20,Male
68,797,754,529.615,Level 0 Recovery,33,Female
69,1151,754,601.03,Level 0 Recovery,27,Female
70,1947,755,318.74,Level 0 Recovery,25,Female
71,1498,756,574.0,Level 0 Recovery,18,Male
72,2013,767,516.22,Level 0 Recovery,24,Female
73,1938,769,299.71,Level 0 Recovery,33,Female
74,1397,770,540.165,Level 0 Recovery,35,Male
75,1389,771,744.75,Level 0 Recovery,24,Male
76,1894,771,603.47,Level 0 Recovery,35,Male
77,54,772,482.88,Level 0 Recovery,20,Male
78,60,772,532.735,Level 0 Recovery,31,Male
79,488,772,465.665,Level 0 Recovery,18,Male
80,1648,772,415.4,Level 0 Recovery,31,Female
81,223,773,314.795,Level 0 Recovery,33,Female
82,872,773,413.54,Level 0 Recovery,18,Male
83,1039,773,487.32,Level 0 Recovery,19,Male
84,1742,774,395.205,Level 0 Recovery,24,Female
85,1337,775,610.23,Level 0 Recovery,31,Female
86,1209,776,313.945,Level 0 Recovery,30,Female
87,1048,777,424.015,Level 0 Recovery,31,Male
88,1346,777,622.5,Level 0 Recovery,21,Male
89,1862,782,1069.185,Level 0 Recovery,24,Male
90,1444,783,533.645,Level 0 Recovery,23,Male
91,1561,785,576.69,Level 0 Recovery,35,Female
92,253,786,302.56,Level 0 Recovery,22,Male
93,1491,791,319.365,Level 0 Recovery,22,Male
94,1590,791,552.34,Level 0 Recovery,35,Female
95,474,793,204.535,Level 0 Recovery,27,Male
96,873,793,584.47,Level 0 Recovery,34,Female
97,915,794,271.615,Level 0 Recovery,29,Female
98,495,796,537.215,Level 0 Recovery,31,Female
99,1628,797,847.94,Level 0 Recovery,28,Male
100,1755,798,510.275,Level 0 Recovery,28,Female
101,12,800,370.51,Level 0 Recovery,26,Male
102,305,804,454.61,Level 0 Recovery,33,Female
103,743,805,508.005,Level 0 Recovery,30,Male
104,1341,807,313.485,Level 0 Recovery,39,Male
105,530,808,452.845,Level 0 Recovery,33,Female
